Tarposition(deg)	position(deg)	Current(A)	Tarposition2(deg)	position2(deg)	Current2(A)
188.00000000 771.31872559 0.01664639 0.00000000 0.00000000 0.00000000
189.00000000 756.54162598 0.01742364 0.00000000 0.00000000 0.00000000
190.00000000 741.48992920 0.01621592 0.00000000 0.00000000 0.00000000
191.00000000 726.43811035 0.01777849 0.00000000 0.00000000 0.00000000
192.00000000 710.89202881 0.01881576 0.00000000 0.00000000 0.00000000
193.00000000 695.45574951 0.01954671 0.00000000 0.00000000 0.00000000
194.00000000 678.81097412 0.02040839 0.00000000 0.00000000 0.00000000
195.00000000 663.48455811 0.02083643 0.00000000 0.00000000 0.00000000
196.00000000 648.15820312 0.02068198 0.00000000 0.00000000 0.00000000
197.00000000 632.72192383 0.02122075 0.00000000 0.00000000 0.00000000
198.00000000 617.28570557 0.02012475 0.00000000 0.00000000 0.00000000
199.00000000 627.39343262 0.00931480 0.00000000 0.00000000 0.00000000
200.00000000 652.49798584 0.00159197 0.00000000 0.00000000 0.00000000
201.00000000 678.92083740 0.00763729 0.00000000 0.00000000 0.00000000
202.00000000 703.31121826 0.01607145 0.00000000 0.00000000 0.00000000
203.00000000 728.58056641 0.02579015 0.00000000 0.00000000 0.00000000
204.00000000 756.54162598 0.03560680 0.00000000 0.00000000 0.00000000
205.00000000 780.87707520 0.04565110 0.00000000 0.00000000 0.00000000
206.00000000 805.65203857 0.05566829 0.00000000 0.00000000 0.00000000
207.00000000 833.55810547 0.06378160 0.00000000 0.00000000 0.00000000
208.00000000 859.15710449 0.07248628 0.00000000 0.00000000 0.00000000
209.00000000 883.38275146 0.07936382 0.00000000 0.00000000 0.00000000
210.00000000 914.63970947 0.08500946 0.00000000 0.00000000 0.00000000
211.00000000 938.92022705 0.08875541 0.00000000 0.00000000 0.00000000
212.00000000 968.30950928 0.09595804 0.00000000 0.00000000 0.00000000
213.00000000 1001.70910645 0.10093817 0.00000000 0.00000000 0.00000000
214.00000000 1025.93469238 0.10155375 0.00000000 0.00000000 0.00000000
215.00000000 1056.20275879 0.10207511 0.00000000 0.00000000 0.00000000
216.00000000 1085.75708008 0.12200999 0.00000000 0.00000000 0.00000000
217.00000000 1116.40991211 0.12196404 0.00000000 0.00000000 0.00000000
218.00000000 1137.83386230 0.12357530 0.00000000 0.00000000 0.00000000
219.00000000 1165.30041504 0.12152005 0.00000000 0.00000000 0.00000000
220.00000000 1192.71215820 0.11942657 0.00000000 0.00000000 0.00000000
221.00000000 1222.65087891 0.11597326 0.00000000 0.00000000 0.00000000
222.00000000 1247.64538574 0.11216784 0.00000000 0.00000000 0.00000000
223.00000000 1273.35437012 0.10890520 0.00000000 0.00000000 0.00000000
224.00000000 1300.76599121 0.10581380 0.00000000 0.00000000 0.00000000
225.00000000 1331.41870117 0.10551836 0.00000000 0.00000000 0.00000000
226.00000000 1357.01770020 0.10655425 0.00000000 0.00000000 0.00000000
227.00000000 1386.18737793 0.10473283 0.00000000 0.00000000 0.00000000
228.00000000 1412.33569336 0.10066844 0.00000000 0.00000000 0.00000000
229.00000000 1446.22937012 0.09839247 0.00000000 0.00000000 0.00000000
230.00000000 1472.76232910 0.09667401 0.00000000 0.00000000 0.00000000
231.00000000 1497.53723145 0.08835956 0.00000000 0.00000000 0.00000000
232.00000000 1526.15734863 0.08327920 0.00000000 0.00000000 0.00000000
233.00000000 1550.65771484 0.08300123 0.00000000 0.00000000 0.00000000
234.00000000 1576.42138672 0.08249237 0.00000000 0.00000000 0.00000000
235.00000000 1609.10681152 0.08080165 0.00000000 0.00000000 0.00000000
236.00000000 1635.36486816 0.08444247 0.00000000 0.00000000 0.00000000
237.00000000 1661.56811523 0.08639651 0.00000000 0.00000000 0.00000000
238.00000000 1686.50781250 0.08570400 0.00000000 0.00000000 0.00000000
239.00000000 1712.43615723 0.08357172 0.00000000 0.00000000 0.00000000
